Year,Code,Constituency,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %
2017,E14000726,Hammersmith,London,Ind,Independent,44,0.08%,,,,
2017,E14000727,Hampstead and Kilburn,London,Lab,Labour,34464,59.01%,58407,Lab,15560,26.64%
2017,E14000727,Hampstead and Kilburn,London,C,Conservative,18904,32.37%,,,,
2017,E14000727,Hampstead and Kilburn,London,LD,Lib Dem,4100,7.02%,,,,
2017,E14000727,Hampstead and Kilburn,London,Green,Green,742,1.27%,,,,
2017,E14000727,Hampstead and Kilburn,London,Ind,Independent,136,0.23%,,,,
2017,E14000727,Hampstead and Kilburn,London,Other,Other,61,0.10%,,,,
2017,E14000731,Harrow East,London,C,Conservative,25129,49.42%,50845,C,1757,3.46%
2017,E14000731,Harrow East,London,Lab,Labour,23372,45.97%,,,,
2017,E14000731,Harrow East,London,LD,Lib Dem,1573,3.09%,,,,
2017,E14000731,Harrow East,London,Green,Green,771,1.52%,,,,
2017,E14000732,Harrow West,London,Lab,Labour,30640,60.85%,50355,Lab,13314,26.44%
2017,E14000732,Harrow West,London,C,Conservative,17326,34.41%,,,,
2017,E14000732,Harrow West,London,LD,Lib Dem,1267,2.52%,,,,
2017,E14000732,Harrow West,London,Green,Green,652,1.29%,,,,
2017,E14000732,Harrow West,London,UKIP,UKIP,470,0.93%,,,,
2017,E14000737,Hayes and Harlington,London,Lab,Labour,31796,66.52%,47802,Lab,18115,37.90%
2017,E14000737,Hayes and Harlington,London,C,Conservative,13681,28.62%,,,,
2017,E14000737,Hayes and Harlington,London,UKIP,UKIP,1153,2.41%,,,,
2017,E14000737,Hayes and Harlington,London,LD,Lib Dem,601,1.26%,,,,
2017,E14000737,Hayes and Harlington,London,Green,Green,571,1.19%,,,,
2017,E14000741,Hendon,London,C,Conservative,25078,48.03%,52215,C,1072,2.05%
2017,E14000741,Hendon,London,Lab,Labour,24006,45.98%,,,,
2017,E14000741,Hendon,London,LD,Lib Dem,1985,3.80%,,,,
2017,E14000741,Hendon,London,Green,Green,578,1.11%,,,,
2017,E14000741,Hendon,London,UKIP,UKIP,568,1.09%,,,,
2017,E14000750,Holborn and St Pancras,London,Lab,Labour,41343,70.08%,58997,Lab,30509,51.71%
2017,E14000750,Holborn and St Pancras,London,C,Conservative,10834,18.36%,,,,
2017,E14000750,Holborn and St Pancras,London,LD,Lib Dem,4020,6.81%,,,,
2017,E14000750,Holborn and St Pancras,London,Green,Green,1980,3.36%,,,,
2017,E14000750,Holborn and St Pancras,London,UKIP,UKIP,727,1.23%,,,,
2017,E14000750,Holborn and St Pancras,London,Other,Other,93,0.16%,,,,
2017,E14000751,Hornchurch and Upminster,London,C,Conservative,33750,60.15%,56107,C,17723,31.59%
2017,E14000751,Hornchurch and Upminster,London,Lab,Labour,16027,28.57%,,,,
2017,E14000751,Hornchurch and Upminster,London,UKIP,UKIP,3502,6.24%,,,,
2017,E14000751,Hornchurch and Upminster,London,LD,Lib Dem,1371,2.44%,,,,
2017,E14000751,Hornchurch and Upminster,London,Green,Green,1077,1.92%,,,,
2017,E14000751,Hornchurch and Upminster,London,Other,Other,380,0.68%,,,,
2017,E14000752,Hornsey and Wood Green,London,Lab,Labour,40738,65.40%,62293,Lab,30738,49.34%
2017,E14000752,Hornsey and Wood Green,London,LD,Lib Dem,10000,16.05%,,,,
2017,E14000752,Hornsey and Wood Green,London,C,Conservative,9246,14.84%,,,,
2017,E14000752,Hornsey and Wood Green,London,Green,Green,1181,1.90%,,,,
2017,E14000752,Hornsey and Wood Green,London,Other,Other,699,1.12%,,,,
2017,E14000752,Hornsey and Wood Green,London,UKIP,UKIP,429,0.69%,,,,
2017,E14000759,Ilford North,London,Lab,Labour,30589,57.78%,52941,Lab,9639,18.21%
2017,E14000759,Ilford North,London,C,Conservative,20950,39.57%,,,,
2017,E14000759,Ilford North,London,LD,Lib Dem,1034,1.95%,,,,
2017,E14000759,Ilford North,London,Ind,Independent,368,0.70%,,,,
2017,E14000760,Ilford South,London,Lab,Labour,43724,75.83%,57657,Lab,31647,54.89%
2017,E14000760,Ilford South,London,C,Conservative,12077,20.95%,,,,
2017,E14000760,Ilford South,London,LD,Lib Dem,772,1.34%,,,,
2017,E14000760,Ilford South,London,Green,Green,542,0.94%,,,,
2017,E14000760,Ilford South,London,UKIP,UKIP,477,0.83%,,,,
2017,E14000760,Ilford South,London,Other,Other,65,0.11%,,,,
2017,E14000763,Islington North,London,Lab,Labour,40086,72.58%,55228,Lab,33215,60.14%
2017,E14000763,Islington North,London,C,Conservative,6871,12.44%,,,,
2017,E14000763,Islington North,London,LD,Lib Dem,4946,8.96%,,,,
2017,E14000763,Islington North,London,Green,Green,2229,4.04%,,,,
2017,E14000763,Islington North,London,Other,Other,642,1.16%,,,,
2017,E14000763,Islington North,London,UKIP,UKIP,413,0.75%,,,,
2017,E14000763,Islington North,London,Ind,Independent,41,0.07%,,,,
2017,E14000764,Islington South and Finsbury,London,Lab,Labour,30188,62.83%,48049,Lab,20263,42.17%
2017,E14000764,Islington South and Finsbury,London,C,Conservative,9925,20.66%,,,,
2017,E14000764,Islington South and Finsbury,London,LD,Lib Dem,5809,12.09%,,,,
2017,E14000764,Islington South and Finsbury,London,Green,Green,1198,2.49%,,,,
2017,E14000764,Islington South and Finsbury,London,UKIP,UKIP,929,1.93%,,,,
2017,E14000768,Kensington,London,Lab,Labour,16333,42.23%,38677,Lab,20,0.05%
2017,E14000768,Kensington,London,C,Conservative,16313,42.18%,,,,
2017,E14000768,Kensington,London,LD,Lib Dem,4724,12.21%,,,,
2017,E14000768,Kensington,London,Green,Green,767,1.98%,,,,
2017,E14000768,Kensington,London,Ind,Independent,393,1.02%,,,,
2017,E14000768,Kensington,London,Other,Other,147,0.38%,,,,
2017,E14000770,Kingston and Surbiton,London,LD,Lib Dem,27810,44.73%,62178,LD,4124,6.63%
2017,E14000770,Kingston and Surbiton,London,C,Conservative,23686,38.09%,,,,
2017,E14000770,Kingston and Surbiton,London,Lab,Labour,9203,14.80%,,,,
2017,E14000770,Kingston and Surbiton,London,UKIP,UKIP,675,1.09%,,,,
2017,E14000770,Kingston and Surbiton,London,Green,Green,536,0.86%,,,,
2017,E14000770,Kingston and Surbiton,London,Other,Other,168,0.27%,,,,
2017,E14000770,Kingston and Surbiton,London,Ind,Independent,100,0.16%,,,,
2017,E14000787,Lewisham East,London,Lab,Labour,32072,67.95%,47201,Lab,21213,44.94%
2017,E14000787,Lewisham East,London,C,Conservative,10859,23.01%,,,,
2017,E14000787,Lewisham East,London,LD,Lib Dem,2086,4.42%,,,,
2017,E14000787,Lewisham East,London,Green,Green,803,1.70%,,,,
2017,E14000787,Lewisham East,London,UKIP,UKIP,798,1.69%,,,,
2017,E14000787,Lewisham East,London,Ind,Independent,355,0.75%,,,,
2017,E14000787,Lewisham East,London,Other,Other,228,0.48%,,,,
2017,E14000788,Lewisham West and Penge,London,Lab,Labour,35411,66.57%,53196,Lab,23162,43.54%
2017,E14000788,Lewisham West and Penge,London,C,Conservative,12249,23.03%,,,,
2017,E14000788,Lewisham West and Penge,London,LD,Lib Dem,3317,6.24%,,,,
2017,E14000788,Lewisham West and Penge,London,Green,Green,1144,2.15%,,,,
2017,E14000788,Lewisham West and Penge,London,UKIP,UKIP,700,1.32%,,,,
2017,E14000788,Lewisham West and Penge,London,Other,Other,375,0.70%,,,,
2017,E14000789,"Lewisham, Deptford",London,Lab,Labour,42461,77.04%,55112,Lab,34899,63.32%
2017,E14000789,"Lewisham, Deptford",London,C,Conservative,7562,13.72%,,,,
2017,E14000789,"Lewisham, Deptford",London,LD,Lib Dem,2911,5.28%,,,,
2017,E14000789,"Lewisham, Deptford",London,Green,Green,1640,2.98%,,,,
2017,E14000789,"Lewisham, Deptford",London,Other,Other,538,0.98%,,,,
2017,E14000790,Leyton and Wanstead,London,Lab,Labour,32234,69.81%,46173,Lab,22607,48.96%
2017,E14000790,Leyton and Wanstead,London,C,Conservative,9627,20.85%,,,,
2017,E14000790,Leyton and Wanstead,London,LD,Lib Dem,2961,6.41%,,,,
2017,E14000790,Leyton and Wanstead,London,Green,Green,1351,2.93%,,,,
2017,E14000823,Mitcham and Morden,London,Lab,Labour,33039,68.66%,48118,Lab,21375,44.42%
2017,E14000823,Mitcham and Morden,London,C,Conservative,11664,24.24%,,,,
2017,E14000823,Mitcham and Morden,London,LD,Lib Dem,1494,3.10%,,,,
2017,E14000823,Mitcham and Morden,London,UKIP,UKIP,1054,2.19%,,,,
2017,E14000823,Mitcham and Morden,London,Green,Green,644,1.34%,,,,
2017,E14000823,Mitcham and Morden,London,Other,Other,223,0.46%,,,,
2017,E14000869,Old Bexley and Sidcup,London,C,Conservative,29545,61.50%,48042,C,15466,32.19%
2017,E14000869,Old Bexley and Sidcup,London,Lab,Labour,14079,29.31%,,,,
2017,E14000869,Old Bexley and Sidcup,London,UKIP,UKIP,1619,3.37%,,,,
2017,E14000869,Old Bexley and Sidcup,London,LD,Lib Dem,1572,3.27%,,,,
2017,E14000869,Old Bexley and Sidcup,London,Green,Green,820,1.71%,,,,
2017,E14000869,Old Bexley and Sidcup,London,Other,Other,407,0.85%,,,,
2017,E14000872,Orpington,London,C,Conservative,31762,62.93%,50469,C,19453,38.54%
2017,E14000872,Orpington,London,Lab,Labour,12309,24.39%,,,,
2017,E14000872,Orpington,London,LD,Lib Dem,3315,6.57%,,,,
2017,E14000872,Orpington,London,UKIP,UKIP,2023,4.01%,,,,
2017,E14000872,Orpington,London,Green,Green,1060,2.10%,,,,
2017,E14000882,Poplar and Limehouse,London,Lab,Labour,39958,67.49%,59204,Lab,28112,47.48%
2017,E14000882,Poplar and Limehouse,London,C,Conservative,11846,20.01%,,,,
2017,E14000882,Poplar and Limehouse,London,LD,Lib Dem,3959,6.69%,,,,
2017,E14000882,Poplar and Limehouse,London,Ind,Independent,1603,2.71%,,,,
2017,E14000882,Poplar and Limehouse,London,Green,Green,989,1.67%,,,,
2017,E14000882,Poplar and Limehouse,London,UKIP,UKIP,849,1.43%,,,,
2017,E14000887,Putney,London,C,Conservative,20679,44.10%,46894,C,1554,3.31%
2017,E14000887,Putney,London,Lab,Labour,19125,40.78%,,,,
2017,E14000887,Putney,London,LD,Lib Dem,5448,11.62%,,,,
2017,E14000887,Putney,London,Green,Green,1107,2.36%,,,,
2017,E14000887,Putney,London,UKIP,UKIP,477,1.02%,,,,
2017,E14000887,Putney,London,Ind,Independent,58,0.12%,,,,
2017,E14000896,Richmond Park,London,C,Conservative,28588,45.14%,63330,C,45,0.07%
2017,E14000896,Richmond Park,London,LD,Lib Dem,28543,45.07%,,,,
2017,E14000896,Richmond Park,London,Lab,Labour,5773,9.12%,,,,
2017,E14000896,Richmond Park,London,UKIP,UKIP,426,0.67%,,,,
2017,E14000900,Romford,London,C,Conservative,29671,59.41%,49944,C,13778,27.59%
2017,E14000900,Romford,London,Lab,Labour,15893,31.82%,,,,
2017,E14000900,Romford,London,UKIP,UKIP,2350,4.71%,,,,
2017,E14000900,Romford,London,LD,Lib Dem,1215,2.43%,,,,
2017,E14000900,Romford,London,Green,Green,815,1.63%,,,,
2017,E14000906,"Ruislip, Northwood and Pinner",London,C,Conservative,30555,57.22%,53400,C,13980,26.18%
2017,E14000906,"Ruislip, Northwood and Pinner",London,Lab,Labour,16575,31.04%,,,,
2017,E14000906,"Ruislip, Northwood and Pinner",London,LD,Lib Dem,3813,7.14%,,,,
2017,E14000906,"Ruislip, Northwood and Pinner",London,Green,Green,1286,2.41%,,,,
2017,E14000906,"Ruislip, Northwood and Pinner",London,UKIP,UKIP,1171,2.19%,,,,
2017,E14000978,Streatham,London,Lab,Labour,38212,68.49%,55795,Lab,26285,47.11%
2017,E14000978,Streatham,London,C,Conservative,11927,21.38%,,,,
2017,E14000978,Streatham,London,LD,Lib Dem,3611,6.47%,,,,
2017,E14000978,Streatham,London,Green,Green,1696,3.04%,,,,
2017,E14000978,Streatham,London,UKIP,UKIP,349,0.63%,,,,
